day,time,start,high,low,end,5,20,60,120,top,center,bottom
2019-07-25,15:45:00,273.4,273.8,273.35,273.8,273.4,273.57,275.13,274.03,275,274,272
2019-07-25,15:30:00,273.05,273.4,272.8,273.4,273.33,273.68,275.16,274.03,276,274,272
2019-07-25,15:00:00,273.5,273.5,273.05,273.05,273.19,273.79,275.2,274.03,276,274,271
2019-07-25,14:30:00,273.25,273.9,273.2,273.5,273.08,273.96,275.23,274.03,277,274,271
2019-07-25,14:00:00,273.5,273.55,273.15,273.25,272.86,274.11,275.26,274.02,277,274,271
2019-07-25,13:30:00,272.7,273.5,272.65,273.45,272.76,274.29,275.28,274.02,277,274,271
2019-07-25,13:00:00,272.5,272.95,272.4,272.7,272.55,274.44,275.3,274.01,278,274,271
2019-07-25,12:30:00,272.4,272.55,271.8,272.5,272.57,274.62,275.32,274.02,278,275,272
2019-07-25,12:00:00,272.75,272.85,272.35,272.4,272.76,274.79,275.33,274.03,278,275,272
2019-07-25,11:30:00,272.35,272.75,272.05,272.75,273.14,274.99,275.35,274.03,278,275,272
2019-07-25,11:00:00,272.8,273.05,272.35,272.4,273.4,275.17,275.35,274.04,278,275,272
2019-07-25,10:30:00,273.45,273.65,272.4,272.8,273.68,275.39,275.33,274.05,278,275,273
2019-07-25,10:00:00,274.3,274.35,273.4,273.45,273.93,275.58,275.31,274.05,278,276,273
2019-07-25,9:30:00,275,275.05,273.3,274.3,274.07,275.75,275.27,274.05,278,276,274
2019-07-24,15:45:00,273.75,274.05,273.75,274.05,274.36,275.88,275.22,274.05,278,276,274
2019-07-24,15:30:00,274.05,274.05,273.55,273.8,274.71,276.03,275.18,274.04,278,276,274
2019-07-24,15:00:00,274.2,274.35,273.35,274.05,275.16,276.19,275.13,274.04,278,276,275
2019-07-24,14:30:00,275.7,275.75,274.05,274.15,275.48,276.33,275.08,274.04,278,276,275
2019-07-24,14:00:00,275.8,275.9,275.55,275.75,275.92,276.45,275.03,274.03,277,276,276
2019-07-24,13:30:00,276,276.05,275.75,275.8,276.07,276.52,274.95,274.01,277,277,276
2019-07-24,13:00:00,275.65,276.05,275.6,276.05,276.28,276.54,274.86,273.99,277,277,276
2019-07-24,12:30:00,276.35,276.35,275.45,275.65,276.37,276.53,274.78,273.96,277,277,276
2019-07-24,12:00:00,276.5,276.55,276.05,276.35,276.48,276.58,274.71,273.94,277,277,276
2019-07-24,11:30:00,276.85,276.95,276.35,276.5,276.39,276.52,274.64,273.91,277,277,276
2019-07-24,11:00:00,276.5,277.1,276.5,276.85,276.38,276.45,274.55,273.89,278,276,275
2019-07-24,10:30:00,276.2,276.65,276.2,276.5,276.3,276.38,274.47,273.86,278,276,275
2019-07-24,10:00:00,275.9,276.25,275.6,276.2,276.36,276.31,274.39,273.83,278,276,275
2019-07-24,9:30:00,276,276.1,275.3,275.9,276.42,276.25,274.32,273.8,278,276,275
2019-07-23,15:45:00,276.5,276.6,276.45,276.45,276.61,276.2,274.26,273.78,278,276,275
2019-07-23,15:30:00,276.8,276.85,276.4,276.45,276.72,276.13,274.19,273.75,278,276,275
2019-07-23,15:00:00,276.5,276.85,276.5,276.8,276.84,276.07,274.11,273.72,278,276,274
2019-07-23,14:30:00,276.85,276.95,276.45,276.5,276.86,275.98,274.04,273.69,278,276,274
2019-07-23,14:00:00,276.95,277,276.8,276.85,276.92,275.93,273.97,273.66,278,276,274
2019-07-23,13:30:00,277,277.3,276.9,277,276.89,275.83,273.89,273.62,277,276,274
2019-07-23,13:00:00,276.9,277.1,276.75,277.05,276.9,275.75,273.81,273.58,277,276,274
2019-07-23,12:30:00,276.8,277.05,276.65,276.9,276.74,275.66,273.73,273.52,277,276,274
2019-07-23,12:00:00,276.75,277.1,276.75,276.8,276.53,275.55,273.64,273.46,277,276,274
2019-07-23,11:30:00,277.05,277.25,276.65,276.7,276.49,275.47,273.55,273.4,277,275,274
2019-07-23,11:00:00,276.3,277.1,276.1,277.05,276.18,275.4,273.48,273.35,277,275,274
2019-07-23,10:30:00,275.85,276.4,275.8,276.25,275.8,275.32,273.44,273.29,276,275,274
2019-07-23,10:00:00,276.55,276.75,275.55,275.85,275.62,275.29,273.41,273.25,276,275,275
2019-07-23,9:30:00,275.65,276.8,275.2,276.6,275.48,275.28,273.39,273.2,276,275,275
2019-07-22,15:45:00,275.15,275.25,275.1,275.15,275.16,275.22,273.35,273.15,276,275,275
2019-07-22,15:30:00,275.35,275.45,275.1,275.15,275.13,275.22,273.34,273.1,276,275,275
2019-07-22,15:00:00,275.15,275.55,275.15,275.35,275.11,275.21,273.32,273.06,276,275,275
2019-07-22,14:30:00,275,275.25,274.85,275.15,275.06,275.18,273.31,273.02,276,275,275
2019-07-22,14:00:00,275.05,275.05,274.85,275,275.04,275.14,273.3,272.98,276,275,274
2019-07-22,13:30:00,275.05,275.1,274.8,275,275.13,275.1,273.28,272.94,276,275,274
2019-07-22,13:00:00,275.1,275.2,275.05,275.05,275.11,275.01,273.26,272.91,276,275,274
2019-07-22,12:30:00,275,275.25,274.9,275.1,275.19,274.93,273.23,272.85,276,275,274
2019-07-22,12:00:00,275.45,275.45,275.05,275.05,275.2,274.83,273.2,272.79,276,275,273
2019-07-22,11:30:00,274.95,275.6,274.8,275.45,275.15,274.63,273.16,272.74,277,275,272
2019-07-22,11:00:00,275.45,276,274.7,274.9,275.09,274.43,273.15,272.69,277,274,272
2019-07-22,10:30:00,275.15,275.6,275.1,275.45,275.17,274.24,273.13,272.64,277,274,271
2019-07-22,10:00:00,274.85,275.4,274.65,275.15,275.17,274.03,273.09,272.59,277,274,271
2019-07-22,9:30:00,274.25,275.05,274.05,274.8,275.28,273.84,273.07,272.54,277,274,271
2019-07-19,15:45:00,275.3,275.4,275.15,275.15,275.45,273.65,273.05,272.49,277,274,270
2019-07-19,15:30:00,275.45,275.7,275.3,275.3,275.5,273.44,273.02,272.45,277,273,270
2019-07-19,15:00:00,275.7,275.85,275.35,275.45,275.48,273.24,273,272.4,277,273,270
2019-07-19,14:30:00,275.65,275.8,275.55,275.7,275.39,273.02,272.96,272.35,277,273,269
2019-07-19,14:00:00,275.4,275.7,275.15,275.65,275.2,272.76,272.93,272.3,276,273,269
2019-07-19,13:30:00,275.15,275.4,275.1,275.4,274.92,272.52,272.9,272.25,276,273,269
2019-07-19,13:00:00,275,275.25,274.95,275.2,274.68,272.34,272.87,272.21,275,272,269
2019-07-19,12:30:00,274.7,275.1,274.7,275,274.29,272.16,272.83,272.16,275,272,269
2019-07-19,12:00:00,274.25,275.1,274.25,274.75,273.99,271.99,272.79,272.11,275,272,269
2019-07-19,11:30:00,274.15,274.6,274.15,274.25,273.63,271.84,272.75,272.07,274,272,270
2019-07-19,11:00:00,273.25,274.3,273.1,274.2,273,271.72,272.72,272.04,274,272,270
2019-07-19,10:30:00,273.45,273.65,273.2,273.25,272.44,271.62,272.71,272,273,272,270
2019-07-19,10:00:00,272.95,273.8,272.9,273.5,272.02,271.57,272.72,271.98,273,272,270
2019-07-19,9:30:00,272.95,273.7,272.85,272.95,271.56,271.49,272.71,271.95,273,271,270
2019-07-18,15:45:00,271.4,271.4,271.1,271.1,271.25,271.44,272.72,271.92,272,271,271
2019-07-18,15:30:00,271.15,271.5,270.95,271.4,271.23,271.5,272.76,271.91,272,271,271
2019-07-18,15:00:00,271.2,271.25,270.85,271.15,271.13,271.55,272.79,271.9,273,272,270
2019-07-18,14:30:00,271.4,271.4,271.05,271.2,271.17,271.6,272.83,271.89,273,272,271
