end,20,60,120,top,bottom
273.8,273.57,275.13,274.03,275,272
273.4,273.68,275.16,274.03,276,272
273.05,273.79,275.2,274.03,276,271
273.5,273.96,275.23,274.03,277,271
273.25,274.11,275.26,274.02,277,271
273.45,274.29,275.28,274.02,277,271
272.7,274.44,275.3,274.01,278,271
272.5,274.62,275.32,274.02,278,272
272.4,274.79,275.33,274.03,278,272
272.75,274.99,275.35,274.03,278,272
272.4,275.17,275.35,274.04,278,272
272.8,275.39,275.33,274.05,278,273
273.45,275.58,275.31,274.05,278,273
274.3,275.75,275.27,274.05,278,274
274.05,275.88,275.22,274.05,278,274
273.8,276.03,275.18,274.04,278,274
274.05,276.19,275.13,274.04,278,275
274.15,276.33,275.08,274.04,278,275
275.75,276.45,275.03,274.03,277,276
275.8,276.52,274.95,274.01,277,276
276.05,276.54,274.86,273.99,277,276
275.65,276.53,274.78,273.96,277,276
276.35,276.58,274.71,273.94,277,276
276.5,276.52,274.64,273.91,277,276
276.85,276.45,274.55,273.89,278,275
276.5,276.38,274.47,273.86,278,275
276.2,276.31,274.39,273.83,278,275
275.9,276.25,274.32,273.8,278,275
276.45,276.2,274.26,273.78,278,275
276.45,276.13,274.19,273.75,278,275
276.8,276.07,274.11,273.72,278,274
276.5,275.98,274.04,273.69,278,274
276.85,275.93,273.97,273.66,278,274
277,275.83,273.89,273.62,277,274
277.05,275.75,273.81,273.58,277,274
276.9,275.66,273.73,273.52,277,274
276.8,275.55,273.64,273.46,277,274
276.7,275.47,273.55,273.4,277,274
277.05,275.4,273.48,273.35,277,274
276.25,275.32,273.44,273.29,276,274
275.85,275.29,273.41,273.25,276,275
276.6,275.28,273.39,273.2,276,275
275.15,275.22,273.35,273.15,276,275
275.15,275.22,273.34,273.1,276,275
275.35,275.21,273.32,273.06,276,275
275.15,275.18,273.31,273.02,276,275
275,275.14,273.3,272.98,276,274
275,275.1,273.28,272.94,276,274
275.05,275.01,273.26,272.91,276,274
275.1,274.93,273.23,272.85,276,274
275.05,274.83,273.2,272.79,276,273
275.45,274.63,273.16,272.74,277,272
274.9,274.43,273.15,272.69,277,272
275.45,274.24,273.13,272.64,277,271
275.15,274.03,273.09,272.59,277,271
274.8,273.84,273.07,272.54,277,271
275.15,273.65,273.05,272.49,277,270
275.3,273.44,273.02,272.45,277,270
275.45,273.24,273,272.4,277,270
275.7,273.02,272.96,272.35,277,269
275.65,272.76,272.93,272.3,276,269
275.4,272.52,272.9,272.25,276,269
275.2,272.34,272.87,272.21,275,269
275,272.16,272.83,272.16,275,269
274.75,271.99,272.79,272.11,275,269
274.25,271.84,272.75,272.07,274,270
274.2,271.72,272.72,272.04,274,270
273.25,271.62,272.71,272,273,270
273.5,271.57,272.72,271.98,273,270
272.95,271.49,272.71,271.95,273,270
271.1,271.44,272.72,271.92,272,271
271.4,271.5,272.76,271.91,272,271
271.15,271.55,272.79,271.9,273,270
271.2,271.6,272.83,271.89,273,271
271.4,271.65,272.87,271.89,273,271
271,271.69,272.91,271.88,273,271
270.9,271.71,272.95,271.89,273,271
271.35,271.75,273,271.92,273,271
271.15,271.79,273.03,271.95,273,271
270.45,271.97,273.07,271.98,274,270
270.9,272.18,273.11,272.02,274,270
271.7,272.36,273.14,272.06,274,270
271.7,272.5,273.16,272.08,275,270
